Order	Family	Scientific Name	Common Name
Cetacea	Delphinidae	Stenella longirostris	(Spinner Dolphin)
Cetacea	Delphinidae	Stenella coeruleoalba	(Striped Dolphin)
Cetacea	Delphinidae	Lagenorhynchus albirostris	(White-beaked Dolphin)
Cetacea	Eschtrichtiidae	Eschrichtius robustus	(Gray Whale)
Cetacea	Monodontidae	Delphinapterus leucas	(Beluga)
Cetacea	Monodontidae	Monodon monocerus	(Narwhal)
Cetacea	Phocoenidae	Phocoenoides dalli	(Dall's Porpoise)
Cetacea	Phocoenidae	Phocoena phocoena	(Harbor Porpoise)
Cetacea	Physeteridae	Kogia breviceps	(Pygmy Sperm Whale)
Cetacea	Physeteridae	Physeter catodon	(Sperm Whale)
Cetacea	Ziphiidae	Hyperoodon ampullatus	(Northern Bottlenosed Whale)
Chiroptera	Molossidae	Tadarida brasiliensis	(Brazilian Free-tailed Bat)
Chiroptera	Phyllostomidae	Macrotus californicus	(California Leaf-nosed Bat)
Chiroptera	Phyllostomidae	Choeronycteris mexicana	(Mexican Long-tongued Bat)
Chiroptera	Vespertilionidae	Eptesicus fuscus	(Big Brown Bat)
Chiroptera	Vespertilionidae	Myotis californicus	(California Myotis)
Chiroptera	Vespertilionidae	Nycticeius humeralis	(Evening Bat)
Chiroptera	Vespertilionidae	Myotis grisescens	(Gray Myotis)
Chiroptera	Vespertilionidae	Lasiurus cinereus	(Hoary Bat)
Chiroptera	Vespertilionidae	Myotis sodalis	(Indiana Bat)
Chiroptera	Vespertilionidae	Myotis lucifugus	(Little Brown Bat)
Chiroptera	Vespertilionidae	Myotis septentrionalis	(Northern Long-eared Myotis)
Chiroptera	Vespertilionidae	Antrozous pallidus	(Pallid Bat)
Chiroptera	Vespertilionidae	Lasiurus borealis	(Red Bat)
Chiroptera	Vespertilionidae	Lasionycteris noctivagans	(Silver-haired Bat)
Chiroptera	Vespertilionidae	Myotis auriculus	(Southwestern Myotis)
Chiroptera	Vespertilionidae	Corynorhinus townsendii	(Townsend's Big-eared Bat)
Chiroptera	Vespertilionidae	Pipistrellus subflavus	(Tri-colored Bat)
Chiroptera	Vespertilionidae	Lasiurus blossevillii	(Western Red Bat)
Didelphimorphia	Didelphidae	Didelphis virginiana	(Virginia Opossum)
Insectivora	Soricidae	Blarina brevicauda	(Northern Short-tailed Shrew)
Insectivora	Soricidae	Sorex hoyi	(Pygmy Shrew)
Insectivora	Soricidae	Blarina carolinensis	(Southern Short-tailed Shrew)
Insectivora	Talpidae	Condylura cristata	(Star-nosed Mole)
Lagomorpha	Leporidae	Lepus othus	(Alaskan Hare)
Lagomorpha	Leporidae	Sylvilagus obscurus	(Appalachian Cottontail)
Lagomorpha	Leporidae	Lepus arcticus	(Arctic Hare)
Lagomorpha	Leporidae	Lepus californicus	(Black-tailed Jackrabbit)
Lagomorpha	Leporidae	Sylvilagus bachmani	(Brush Rabbit)
Lagomorpha	Leporidae	Sylvilagus audubonii	(Desert Cottontail)
Lagomorpha	Leporidae	Sylvilagus floridanus	(Eastern Cottontail)
Lagomorpha	Leporidae	Sylvilagus palustris	(Marsh Rabbit)
Lagomorpha	Leporidae	Sylvilagus nuttallii	(Mountain Cottontail)
Lagomorpha	Leporidae	Sylvilagus transitionalis	(New England Cottontail)
Lagomorpha	Leporidae	Brachylagus idahoensis	(Pygmy Rabbit)
Lagomorpha	Leporidae	Lepus americanus	(Snowshoe Hare)
Lagomorpha	Leporidae	Sylvilagus aquaticus	(Swamp Rabbit)
Lagomorpha	Leporidae	Lepus townsendii	(White-tailed Jackrabbit)
Lagomorpha	Ochotonidae	Ochotona princeps	(American Pika)
Rodentia	Aplodontidae	Aplodontia rufa	(Mountain Beaver)
Rodentia	Castoridae	Castor canadensis	(American Beaver)
Rodentia	Dipodidae	Zapus hudsonius	(Meadow Jumping Mouse)
Rodentia	Dipodidae	Zapus princeps	(Western Jumping Mouse)
Rodentia	Dipodidae	Napaeozapus insignis	(Woodland Jumping Mouse)
Rodentia	Erethizodontidae	Erethizon dorsatum	(North American Porcupine)
Rodentia	Geomyidae	Thomomys bottae	(Botta's Pocket Gopher)
Rodentia	Geomyidae	Thomomys talpoides	(Northern Pocket Gopher)
Rodentia	Geomyidae	Geomys personatus	(Texas Pocket Gopher)
Rodentia	Heteromyidae	Chaetodipus baileyi	(Bailey's Pocket Mouse)
Rodentia	Heteromyidae	Dipodomys ingens	(Giant Kangaroo Rat)
Rodentia	Muridae	Lemmus trimucronatus	(Brown Lemming)
Rodentia	Muridae	Neotoma cinerea	(Bushy-tailed Woodrat)
Rodentia	Muridae	Peromyscus eremicus	(Cactus Mouse)
Rodentia	Muridae	Peromyscus gossypinus	(Cotton Mouse)
Rodentia	Muridae	Peromyscus maniculatus	(Deermouse)
Rodentia	Muridae	Reithrodontomys humulis	(Eastern Harvest Mouse)
Rodentia	Muridae	Sigmodon hispidus	(Hispid Cotton Rat)
Rodentia	Muridae	Microtus longicaudus	(Long-tailed Vole)
Rodentia	Muridae	Oryzomys palustris	(Marsh Rice Rat)
Rodentia	Muridae	Microtus pennsylvanicus	(Meadow Vole)
Rodentia	Muridae	Ondatra zibethicus	(Muskrat)
Rodentia	Muridae	Peromyscus polionotus	(Oldfield Mouse)
Rodentia	Muridae	Microtus chrotorrhinus	(Rock Vole)
Rodentia	Muridae	Microtus miurus	(Singing Vole)
Rodentia	Muridae	Synaptomys cooperi	(Southern Bog Lemming)
Rodentia	Muridae	Microtus oeconomus	(Tundra Vole)
Rodentia	Muridae	Reithrodontomys megalotis	(Western Harvest Mouse)
Rodentia	Muridae	Peromyscus leucopus	(White-footed Mouse)
Rodentia	Muridae	Microtus pinetorum	(Woodland Vole)
Rodentia	Sciuridae	Sciurus aberti	(Abert's Squirrel)
Rodentia	Sciuridae	Tamias alpinus	(Alpine Chipmunk)
Rodentia	Sciuridae	Spermophilus parryii	(Arctic Ground Squirrel)
Rodentia	Sciuridae	Spermophilus beldingi	(Belding's Ground Squirrel)
Rodentia	Sciuridae	Cynomys ludovicianus	(Black-tailed Prairie Dog)
Rodentia	Sciuridae	Spermophilus beecheyi	(California Ground Squirrel)
Rodentia	Sciuridae	Tamias dorsalis	(Cliff Chipmunk)
Rodentia	Sciuridae	Tamias quadrivittatus	(Colorado Chipmunk)
Rodentia	Sciuridae	Spermophilus columbianus	(Columbian Ground Squirrel)
Rodentia	Sciuridae	Tamiasciurus douglasii	(Douglas' Squirrel)
Rodentia	Sciuridae	Tamias striatus	(Eastern Chipmunk)
Rodentia	Sciuridae	Sciurus niger	(Eastern Fox Squirrel)
Rodentia	Sciuridae	Sciurus carolinensis	(Eastern Gray Squirrel)
Rodentia	Sciuridae	Spermophilus franklinii	(Franklin's Ground Squirrel)
Rodentia	Sciuridae	Spermophilus lateralis	(Golden-mantled Ground Squirrel)
Rodentia	Sciuridae	Ammospermophilus harrisii	(Harris's Antelope Squirrel)
Rodentia	Sciuridae	Marmota caligata	(Hoary Marmot)
Rodentia	Sciuridae	Tamias rufus	(Hopi Chipmunk)
Rodentia	Sciuridae	Spermophilus brunneus	(Idaho Ground Squirrel)
Rodentia	Sciuridae	Tamias minimus	(Least Chipmunk)
Rodentia	Sciuridae	Glaucomys sabrinus	(Northern Flying Squirrel)
Rodentia	Sciuridae	Marmota olympus	(Olympic Marmot)
Rodentia	Sciuridae	Tamiasciurus hudsonicus	(Red Squirrel)
Rodentia	Sciuridae	Spermophilus richardsonii	(Richardson's Ground Squirrel)
Rodentia	Sciuridae	Spermophilus variegatus	(Rock Squirrel)
Rodentia	Sciuridae	Spermophilus tereticaudus	(Round-tailed Ground Squirrel)
Rodentia	Sciuridae	Glaucomys volans	(Southern Flying Squirrel)
Rodentia	Sciuridae	Spermophilus spilosoma	(Spotted Ground Squirrel)
Rodentia	Sciuridae	Spermophilus tridecemlineatus	(Thirteen-lined Ground Squirrel)
Rodentia	Sciuridae	Spermophilus armatus	(Uinta Ground Squirrel)
Rodentia	Sciuridae	Cynomys parvidens	(Utah Prairie Dog)
Rodentia	Sciuridae	Sciurus griseus	(Western Gray Squirrel)
Rodentia	Sciuridae	Cynomys leucurus	(White-tailed Prairie Dog)
Rodentia	Sciuridae	Marmota monax	(Woodchuck)
Rodentia	Sciuridae	Spermophilus elegans	(Wyoming Ground Squirrel)
Rodentia	Sciuridae	Marmota flaviventris	(Yellow-bellied Marmot)
Rodentia	Sciuridae	Tamias amoenus	(Yellow-pine Chipmunk)
Sirenia	Trichechidae	Trichechus manatus	(West Indian Manatee)
Xenarthra	Dasypodidae	Dasypus novemcinctus	(Nine-banded Armadillo)
